ClassId,Name
0,Gioi han toc do (20km/h)
1,Gioi han toc do (30km/h)
2,Gioi han toc do (50km/h)
3,Gioi han toc do (60km/h)
4,Gioi han toc do (70km/h)
5,Gioi han toc do (80km/h)
6,Het gioi han toc do (80km/h)
7,Gioi han toc do (100km/h)
8,Gioi han toc do (120km/h)
9,Cam vuot
10,"Cam vuot xe trn 3,5 tan"
11,Quyen uu tin tai giao lo tiep theo
12,duong uu tin
13,nang suat
14,Dung lai
15,khong ci phuong tien
16,"Cam xe trn 3,5 tan"
17,Cam vo
18,Than trong chung
19,Khc cua nguy hiem bn tri
20,Khc cua nguy hiem bn phai
21,duong cong doi
22,Con duong gap ghenh
23,duong tron truot
24,Con duong hep lai bn phai
25,lm duong
26,Tin hieu giao thong
27,nguoi di bo
28,tre em qua duong
29,Xe dap qua duong
30,Coi chung bang/tuyet
31,Dong vat hoang d bang qua
32,Ket thc tat ca cc gioi han toc do v vuot qua
33,Re phai ve phia truoc
34,Re tri phia truoc
35,Chi di thang
36,Di thang hoac phai
37,Di thang hoac tri
38,Di bn phai
39,Giu bn tri
40,Bat buoc di vong xuyen
41,Ket thc khong di qua
42,"Het duong cam xe trn 3,5 tan di qua"
